Mike Yastrzemski,186,0.25,0.331,0.447,0.327,1,0.1,0.9,0.8
Evan Longoria,164,0.258,0.314,0.439,0.316,-0.7,0,0.3,0.5
Brandon Belt,162,0.242,0.35,0.422,0.331,1.4,-0.1,1.2,0.5
Brandon Crawford,170,0.246,0.314,0.376,0.293,-4,-0.3,0.9,0.4
Donovan Solano,141,0.288,0.324,0.391,0.306,-1.8,-0.1,0,0.3
Wilmer Flores,108,0.286,0.331,0.458,0.332,1.1,-0.3,-0.7,0.3
Alex Dickerson,122,0.267,0.331,0.45,0.328,0.8,0,-0.8,0.2
Tyler Heineman,99,0.245,0.31,0.356,0.289,-2.7,0.1,-0.2,0.2
Mauricio Dubon,128,0.261,0.297,0.387,0.291,-3.3,0,0.7,0.2
Austin Slater,60,0.254,0.34,0.389,0.315,-0.3,0,0.1,0.1
Chad Tromp,47,0.23,0.286,0.384,0.285,-1.5,-0.1,0,0.1
Chris Herrmann,28,0.216,0.302,0.356,0.286,-0.9,0,-0.2,0
Jaylin Davis,56,0.233,0.294,0.407,0.297,-1.1,0,0.2,0
Aramis Garcia,15,0.213,0.267,0.355,0.265,-0.7,0,0.2,0
Yolmer Sanchez,12,0.249,0.309,0.367,0.291,-0.3,0,0,0
Joe McCarthy,8,0.208,0.295,0.338,0.277,-0.3,0,0,0
Darin Ruf,39,0.241,0.31,0.4,0.302,-0.6,-0.1,-0.1,0
Steven Duggar,81,0.239,0.305,0.361,0.288,-2.3,-0.1,-0.2,-0.1
Pablo Sandoval,77,0.237,0.293,0.403,0.292,-1.9,-0.2,-0.2,-0.1
Hunter Pence,143,0.234,0.286,0.374,0.282,-4.8,0.2,-0.2,-0.3
